makeModel,price,Range,url,,,,
BMW i3,41350, 114 ,https://www.bmwusa.com/vehicles/bmwi/bmw-i3.html?from=/standard/content/vehicles/2014/bmwi/bmwi3rd.aspx&return=/standard/content/vehicles/2014/bmwi/bmwi3rd.aspx,,,,
Chevrolet Bolt EV,37495, 238 ,http://www.chevrolet.com/electric/bolt-ev-electric-car,,,,
Fiat 500e,32500, 87 ,https://www.fiatusa.com/500e.html,,,,
Ford Focus Electric,29170, 115 ,https://www.ford.com/cars/focus/trim/electric/,,,,
Honda Clarity Electric,37495, 89 ,https://automobiles.honda.com/clarity-electric,,,,
Hyundai Ioniq Electric,29500, 124 ,https://m.hyundaiusa.com/ioniq-electric/limited/specifications.html,,,,
Kia Soul EV,33700, 111 ,https://www.kia.com/us/en/vehicle/soul-ev/2018,,,,
Nissan LEAF,29900, 151 ,https://www.nissanusa.com/vehicles/electric-cars/leaf.html,,,,
Smart ED,25000, 68 ,https://www.smartusa.com/models/electric-pure-coupe,,,,
Tesla Model 3,35000, 220 ,https://www.tesla.com/model3,,,,
Tesla Model S,66000, 210 ,https://www.tesla.com/models,,,,
Tesla Model X,74000, 237 ,https://www.tesla.com/modelx,,,,
Volkswagen e-Golf,36265, 125 ,http://www.vw.com/models/e-golf/?&cid=ssem_y56fGy49_95913095106_c,,,,
,,,,,,,
