,EV Connector Types,State,Number of Stations
0,CHADEMO,AZ,6
1,CHADEMO,CA,99
2,CHADEMO,CO,1
3,CHADEMO,CT,2
4,CHADEMO,FL,9
5,CHADEMO,GA,2
6,CHADEMO,HI,12
7,CHADEMO,IL,2
8,CHADEMO,LA,1
9,CHADEMO,MA,9
10,CHADEMO,MD,4
11,CHADEMO,MI,1
12,CHADEMO,MO,3
13,CHADEMO,NC,2
14,CHADEMO,NJ,7
15,CHADEMO,NY,3
16,CHADEMO,OK,1
17,CHADEMO,OR,6
18,CHADEMO,PA,8
19,CHADEMO,SC,7
20,CHADEMO,TN,8
21,CHADEMO,TX,6
22,CHADEMO,UT,1
23,CHADEMO,VA,2
24,CHADEMO,VT,8
25,CHADEMO,WA,11
26,CHADEMO,WI,3
27,CHADEMO J1772,AL,4
28,CHADEMO J1772,AZ,15
29,CHADEMO J1772,CA,52
30,CHADEMO J1772,CO,12
31,CHADEMO J1772,CT,9
32,CHADEMO J1772,FL,21
33,CHADEMO J1772,GA,19
34,CHADEMO J1772,HI,8
35,CHADEMO J1772,ID,2
36,CHADEMO J1772,IL,12
37,CHADEMO J1772,IN,8
38,CHADEMO J1772,KY,1
39,CHADEMO J1772,MA,12
40,CHADEMO J1772,MD,2
41,CHADEMO J1772,ME,5
42,CHADEMO J1772,MI,2
43,CHADEMO J1772,MN,7
44,CHADEMO J1772,MO,4
45,CHADEMO J1772,MS,1
46,CHADEMO J1772,NC,23
47,CHADEMO J1772,NJ,2
48,CHADEMO J1772,NM,1
49,CHADEMO J1772,NV,1
50,CHADEMO J1772,NY,3
51,CHADEMO J1772,OH,5
52,CHADEMO J1772,OK,1
53,CHADEMO J1772,OR,55
54,CHADEMO J1772,PA,16
55,CHADEMO J1772,RI,1
56,CHADEMO J1772,SC,4
57,CHADEMO J1772,TN,27
58,CHADEMO J1772,TX,12
59,CHADEMO J1772,UT,3
60,CHADEMO J1772,VA,20
61,CHADEMO J1772,VT,1
62,CHADEMO J1772,WA,29
63,CHADEMO J1772,WI,2
64,CHADEMO J1772,WV,1
65,CHADEMO J1772 J1772COMBO,AR,1
66,CHADEMO J1772 J1772COMBO,AZ,1
67,CHADEMO J1772 J1772COMBO,CA,165
68,CHADEMO J1772 J1772COMBO,CO,23
69,CHADEMO J1772 J1772COMBO,CT,4
70,CHADEMO J1772 J1772COMBO,DE,2
71,CHADEMO J1772 J1772COMBO,FL,15
72,CHADEMO J1772 J1772COMBO,GA,44
73,CHADEMO J1772 J1772COMBO,HI,3
74,CHADEMO J1772 J1772COMBO,ID,1
75,CHADEMO J1772 J1772COMBO,IL,7
76,CHADEMO J1772 J1772COMBO,IN,1
77,CHADEMO J1772 J1772COMBO,KY,1
78,CHADEMO J1772 J1772COMBO,MA,13
79,CHADEMO J1772 J1772COMBO,MD,17
80,CHADEMO J1772 J1772COMBO,MI,1
81,CHADEMO J1772 J1772COMBO,MN,7
82,CHADEMO J1772 J1772COMBO,MO,3
83,CHADEMO J1772 J1772COMBO,NC,2
84,CHADEMO J1772 J1772COMBO,NE,1
85,CHADEMO J1772 J1772COMBO,NH,4
86,CHADEMO J1772 J1772COMBO,NJ,9
87,CHADEMO J1772 J1772COMBO,NV,3
88,CHADEMO J1772 J1772COMBO,NY,7
89,CHADEMO J1772 J1772COMBO,OH,19
90,CHADEMO J1772 J1772COMBO,OK,2
91,CHADEMO J1772 J1772COMBO,OR,11
92,CHADEMO J1772 J1772COMBO,PA,3
93,CHADEMO J1772 J1772COMBO,SC,2
94,CHADEMO J1772 J1772COMBO,TN,2
95,CHADEMO J1772 J1772COMBO,TX,51
96,CHADEMO J1772 J1772COMBO,UT,17
97,CHADEMO J1772 J1772COMBO,VA,8
98,CHADEMO J1772 J1772COMBO,WA,12
99,CHADEMO J1772 J1772COMBO,WI,1
100,CHADEMO J1772 J1772COMBO NEMA520,CA,1
101,CHADEMO J1772 J1772COMBO TESLA,VA,1
102,CHADEMO J1772 NEMA515,CO,1
103,CHADEMO J1772 NEMA520,FL,1
104,CHADEMO J1772 NEMA520,NY,1
105,CHADEMO J1772 NEMA520,OR,2
106,CHADEMO J1772 NEMA520 TESLA,CA,1
107,CHADEMO J1772 TESLA,CA,1
108,CHADEMO J1772 TESLA,IL,1
109,CHADEMO J1772COMBO,AL,1
