,State,Number of Stations
0,AK,8
1,AL,83
2,AR,44
3,AZ,399
4,CA,4305
5,CO,562
6,CT,312
7,DC,95
8,DE,34
9,FL,1008
10,GA,647
11,HI,250
12,IA,88
13,ID,57
14,IL,460
15,IN,163
16,KS,174
17,KY,81
18,LA,68
19,MA,538
20,MD,499
21,ME,118
22,MI,363
23,MN,220
24,MO,368
25,MS,41
26,MT,29
27,NC,494
28,ND,11
29,NE,62
30,NH,80
31,NJ,236
32,NM,55
33,NV,197
34,NY,951
35,OH,323
36,OK,44
37,OR,495
38,PA,338
39,Puerto Rico,1
40,RI,75
41,SC,211
42,SD,22
43,TN,387
44,TX,984
45,UT,152
46,VA,424
47,VT,159
48,WA,727
49,WI,170
50,WV,59
51,WY,35
